Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MGC APR26,Sell,10,5198.0,3/10/2026 5:00:00 PM,NT-00729-1572,Exit,-,NT-00761-1572,Exit on session close,$0.00,1,Backtest,,
MGC APR26,Buy,10,5238.9,3/10/2026 12:08:00 PM,NT-00728-1572,Entry,10 L,NT-00760-1572,Long,$0.00,1,Backtest,,
MGC APR26,Sell,10,5296.9,2/27/2026 5:00:00 PM,NT-00727-1572,Exit,-,NT-00759-1572,Exit on session close,$0.00,1,Backtest,,
MGC APR26,Buy,10,5254.3,2/27/2026 12:56:00 PM,NT-00726-1572,Entry,10 L,NT-00758-1572,Long,$0.00,1,Backtest,,
MGC APR26,Sell,10,5013.2,2/19/2026 5:00:00 PM,NT-00725-1572,Exit,-,NT-00757-1572,Exit on session close,$0.00,1,Backtest,,
MGC APR26,Buy,10,5019.1,2/19/2026 12:16:00 PM,NT-00724-1572,Entry,10 L,NT-00756-1572,Long,$0.00,1,Backtest,,
MGC APR26,Buy,10,5014.6,2/16/2026 2:30:00 PM,NT-00723-1572,Exit,-,NT-00755-1572,Exit on session close,$0.00,1,Backtest,,
MGC APR26,Sell,10,5010.1,2/16/2026 1:04:00 PM,NT-00722-1572,Entry,10 S,NT-00754-1572,Short,$0.00,1,Backtest,,
MGC APR26,Buy,10,4679.0,2/2/2026 1:04:00 PM,NT-00721-1572,Exit,-,NT-00753-1572,PT,$0.00,1,Backtest,,
MGC APR26,Sell,10,4703.0,2/2/2026 12:24:00 PM,NT-00720-1572,Entry,10 S,NT-00752-1572,Short,$0.00,1,Backtest,,
MGC APR26,Sell,10,4804.9,1/20/2026 5:00:00 PM,NT-00719-1572,Exit,-,NT-00751-1572,Exit on session close,$0.00,1,Backtest,,
MGC APR26,Buy,10,4790.6,1/20/2026 12:16:00 PM,NT-00718-1572,Entry,10 L,NT-00750-1572,Long,$0.00,1,Backtest,,
