Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
YM MAR26,Buy,1,46773,3/12/2026 5:00:00 PM,NT-00879-1656,Exit,-,NT-00918-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,46921,3/12/2026 11:45:00 AM,NT-00878-1656,Entry,1 S,NT-00917-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,47288,3/11/2026 11:45:00 AM,NT-00877-1656,Exit,-,NT-00916-1656,PT,$0.00,1,Backtest,,
YM MAR26,Sell,1,47528,3/11/2026 11:10:00 AM,NT-00876-1656,Entry,1 S,NT-00915-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,47302,3/9/2026 3:20:00 PM,NT-00875-1656,Exit,-,NT-00914-1656,PT,$0.00,1,Backtest,,
YM MAR26,Buy,1,47062,3/9/2026 11:05:00 AM,NT-00874-1656,Entry,1 L,NT-00913-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,48909,2/27/2026 5:00:00 PM,NT-00873-1656,Exit,-,NT-00911-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,48971,2/27/2026 11:10:00 AM,NT-00872-1656,Entry,1 S,NT-00910-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,49495,2/25/2026 5:00:00 PM,NT-00871-1656,Exit,-,NT-00909-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,49387,2/25/2026 11:15:00 AM,NT-00870-1656,Entry,1 S,NT-00908-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,49680,2/20/2026 5:00:00 PM,NT-00869-1656,Exit,-,NT-00907-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,49386,2/20/2026 12:45:00 PM,NT-00868-1656,Entry,1 L,NT-00906-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,49421,2/19/2026 5:00:00 PM,NT-00867-1656,Exit,-,NT-00905-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,49579,2/19/2026 11:20:00 AM,NT-00866-1656,Entry,1 L,NT-00904-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,49624,2/17/2026 5:00:00 PM,NT-00865-1656,Exit,-,NT-00903-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,49474,2/17/2026 12:45:00 PM,NT-00864-1656,Entry,1 S,NT-00902-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,49526,2/13/2026 5:00:00 PM,NT-00863-1656,Exit,-,NT-00901-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,49584,2/13/2026 11:05:00 AM,NT-00862-1656,Entry,1 L,NT-00900-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,49366,2/3/2026 5:00:00 PM,NT-00861-1656,Exit,-,NT-00899-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,49512,2/3/2026 11:30:00 AM,NT-00860-1656,Entry,1 L,NT-00898-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,48653,1/30/2026 12:15:00 PM,NT-00859-1656,Exit,-,NT-00897-1656,PT,$0.00,1,Backtest,,
