Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
CL APR26,Sell,1,96.39,3/12/2026 5:00:00 PM,NT-01237-1766,Exit,-,NT-01326-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,95.22,3/12/2026 12:12:00 PM,NT-01236-1766,Entry,1 L,NT-01325-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,88.41,3/11/2026 5:00:00 PM,NT-01235-1766,Exit,-,NT-01324-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,88.10,3/11/2026 12:36:00 PM,NT-01234-1766,Entry,1 L,NT-01323-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,76.11,3/4/2026 5:00:00 PM,NT-01233-1766,Exit,-,NT-01322-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,74.41,3/4/2026 11:24:00 AM,NT-01232-1766,Entry,1 L,NT-01321-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,74.80,3/3/2026 5:00:00 PM,NT-01231-1766,Exit,-,NT-01320-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,75.86,3/3/2026 12:12:00 PM,NT-01230-1766,Entry,1 S,NT-01319-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,66.29,2/23/2026 5:00:00 PM,NT-01229-1766,Exit,-,NT-01318-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,67.02,2/23/2026 11:24:00 AM,NT-01228-1766,Entry,1 L,NT-01317-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,66.31,2/20/2026 5:00:00 PM,NT-01227-1766,Exit,-,NT-01316-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,65.98,2/20/2026 11:24:00 AM,NT-01226-1766,Entry,1 S,NT-01315-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,66.67,2/19/2026 5:00:00 PM,NT-01225-1766,Exit,-,NT-01314-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,66.50,2/19/2026 11:12:00 AM,NT-01224-1766,Entry,1 L,NT-01313-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,62.22,2/17/2026 5:00:00 PM,NT-01223-1766,Exit,-,NT-01312-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,62.15,2/17/2026 11:36:00 AM,NT-01222-1766,Entry,1 S,NT-01311-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,62.64,2/13/2026 5:00:00 PM,NT-01221-1766,Exit,-,NT-01310-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,62.40,2/13/2026 12:00:00 PM,NT-01220-1766,Entry,1 S,NT-01309-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,62.95,2/5/2026 5:00:00 PM,NT-01219-1766,Exit,-,NT-01308-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,62.83,2/5/2026 11:12:00 AM,NT-01218-1766,Entry,1 S,NT-01307-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,64.30,2/4/2026 5:00:00 PM,NT-01217-1766,Exit,-,NT-01306-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,63.14,2/4/2026 11:24:00 AM,NT-01216-1766,Entry,1 L,NT-01305-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,63.73,2/3/2026 5:00:00 PM,NT-01215-1766,Exit,-,NT-01304-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,62.71,2/3/2026 11:24:00 AM,NT-01214-1766,Entry,1 L,NT-01303-1766,Long,$0.00,1,Backtest,,
