Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MNQ MAR26,Sell,1,24947.50,3/11/2026 5:00:00 PM,NT-00827-1711,Exit,-,NT-00874-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25020.75,3/11/2026 1:05:00 PM,NT-00826-1711,Entry,1 L,NT-00873-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,24770.25,2/17/2026 5:00:00 PM,NT-00825-1711,Exit,-,NT-00871-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,24610.75,2/17/2026 12:55:00 PM,NT-00824-1711,Entry,1 S,NT-00870-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,24881.00,2/13/2026 11:40:00 AM,NT-00823-1711,Exit,-,NT-00869-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,24821.00,2/13/2026 11:05:00 AM,NT-00822-1711,Entry,1 L,NT-00868-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25257.75,2/10/2026 5:00:00 PM,NT-00821-1711,Exit,-,NT-00867-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25358.00,2/10/2026 11:10:00 AM,NT-00820-1711,Entry,1 S,NT-00866-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,24425.75,2/5/2026 5:00:00 PM,NT-00819-1711,Exit,-,NT-00865-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,24724.75,2/5/2026 11:30:00 AM,NT-00818-1711,Entry,1 S,NT-00864-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25638.75,1/30/2026 5:00:00 PM,NT-00817-1711,Exit,-,NT-00863-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25850.50,1/30/2026 11:05:00 AM,NT-00816-1711,Entry,1 L,NT-00862-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25630.00,1/22/2026 5:00:00 PM,NT-00815-1711,Exit,-,NT-00861-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25703.75,1/22/2026 12:40:00 PM,NT-00814-1711,Entry,1 S,NT-00860-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25408.00,1/19/2026 12:30:00 PM,NT-00813-1711,Exit,-,NT-00859-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25348.00,1/19/2026 11:35:00 AM,NT-00812-1711,Entry,1 L,NT-00858-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25705.75,1/15/2026 5:00:00 PM,NT-00811-1711,Exit,-,NT-00857-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25890.25,1/15/2026 11:15:00 AM,NT-00810-1711,Entry,1 S,NT-00856-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25898.25,1/13/2026 5:00:00 PM,NT-00809-1711,Exit,-,NT-00855-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25948.75,1/13/2026 11:45:00 AM,NT-00808-1711,Entry,1 S,NT-00854-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25744.50,12/29/2025 5:00:00 PM,NT-00807-1711,Exit,-,NT-00853-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25703.00,12/29/2025 11:05:00 AM,NT-00806-1711,Entry,1 L,NT-00852-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25334.50,12/18/2025 12:50:00 PM,NT-00805-1711,Exit,-,NT-00851-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25274.50,12/18/2025 12:35:00 PM,NT-00804-1711,Entry,1 L,NT-00850-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25352.25,12/16/2025 12:20:00 PM,NT-00803-1711,Exit,-,NT-00849-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25292.25,12/16/2025 11:15:00 AM,NT-00802-1711,Entry,1 L,NT-00848-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25885.50,12/4/2025 5:00:00 PM,NT-00801-1711,Exit,-,NT-00847-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25879.75,12/4/2025 12:00:00 PM,NT-00800-1711,Entry,1 S,NT-00846-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25553.00,11/27/2025 1:00:00 PM,NT-00799-1711,Exit,-,NT-00845-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25541.50,11/27/2025 11:10:00 AM,NT-00798-1711,Entry,1 S,NT-00844-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25317.75,11/25/2025 5:00:00 PM,NT-00797-1711,Exit,-,NT-00843-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25100.00,11/25/2025 11:30:00 AM,NT-00796-1711,Entry,1 S,NT-00842-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,24785.00,11/18/2025 5:00:00 PM,NT-00795-1711,Exit,-,NT-00841-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,24967.25,11/18/2025 12:50:00 PM,NT-00794-1711,Entry,1 S,NT-00840-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25393.50,11/17/2025 11:50:00 AM,NT-00793-1711,Exit,-,NT-00839-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25333.50,11/17/2025 11:35:00 AM,NT-00792-1711,Entry,1 L,NT-00838-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25974.25,11/10/2025 5:00:00 PM,NT-00791-1711,Exit,-,NT-00837-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25774.25,11/10/2025 11:05:00 AM,NT-00790-1711,Entry,1 S,NT-00835-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,26402.25,10/30/2025 5:00:00 PM,NT-00789-1711,Exit,-,NT-00834-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,26331.50,10/30/2025 12:25:00 PM,NT-00788-1711,Entry,1 S,NT-00833-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,26477.00,10/29/2025 5:00:00 PM,NT-00787-1711,Exit,-,NT-00832-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,26510.25,10/29/2025 11:05:00 AM,NT-00786-1711,Entry,1 S,NT-00831-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25518.25,10/21/2025 5:00:00 PM,NT-00785-1711,Exit,-,NT-00829-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25525.25,10/21/2025 11:10:00 AM,NT-00784-1711,Entry,1 S,NT-00828-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25087.75,10/17/2025 11:55:00 AM,NT-00783-1711,Exit,-,NT-00827-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25027.75,10/17/2025 11:45:00 AM,NT-00782-1711,Entry,1 L,NT-00826-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25087.75,10/17/2025 11:15:00 AM,NT-00781-1711,Exit,-,NT-00825-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25027.75,10/17/2025 11:05:00 AM,NT-00780-1711,Entry,1 L,NT-00824-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25234.75,10/3/2025 5:00:00 PM,NT-00779-1711,Exit,-,NT-00820-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25368.00,10/3/2025 11:05:00 AM,NT-00778-1711,Entry,1 S,NT-00819-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25091.75,9/30/2025 5:00:00 PM,NT-00777-1711,Exit,-,NT-00818-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25096.50,9/30/2025 11:05:00 AM,NT-00776-1711,Entry,1 L,NT-00817-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,24980.75,9/26/2025 5:00:00 PM,NT-00775-1711,Exit,-,NT-00815-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,24914.25,9/26/2025 12:30:00 PM,NT-00774-1711,Entry,1 S,NT-00814-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,25082.25,9/19/2025 2:45:00 PM,NT-00773-1711,Exit,-,NT-00813-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,25022.25,9/19/2025 11:05:00 AM,NT-00772-1711,Entry,1 L,NT-00812-1711,Long,$0.00,1,Backtest,,
