instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
CL,1,long,2025-01-02 10:36:00,2025-01-02 11:00:00,24.0,73.16,73.50999999999999,73.16,stop_loss,34.99999999999943,349.9999999999943
YM,1,short,2025-01-02 11:00:00,2025-01-02 11:05:00,5.0,43103.0,42794.0,43103.0,profit_target,309.0,1545.0
MNQ,2,short,2025-01-02 12:25:00,2025-01-02 12:30:00,5.0,21166.0,21106.0,21166.0,profit_target,240.0,240.0
CL,1,long,2025-01-02 10:36:00,2025-01-02 16:55:00,379.0,73.16,73.09,73.16,close_all_flatten,-6.999999999999318,-69.99999999999318
YM,1,short,2025-01-02 11:00:00,2025-01-02 16:55:00,355.0,43103.0,42719.0,43103.0,close_all_flatten,384.0,1920.0
MGC,7,long,2025-01-02 12:00:00,2025-01-02 16:55:00,295.0,2665.3,2670.7,2665.3,close_all_flatten,53.99999999999636,377.99999999997453
MNQ,2,short,2025-01-02 12:25:00,2025-01-02 16:55:00,270.0,21166.0,21181.0,21166.0,close_all_flatten,-60.0,-60.0
CL,1,long,2025-01-03 10:36:00,2025-01-03 11:00:00,24.0,73.63,73.72999999999999,73.63,stop_loss,9.999999999999432,99.99999999999432
YM,1,long,2025-01-03 11:00:00,2025-01-03 11:05:00,5.0,42895.0,42870.0,42895.0,stop_loss,-25.0,-125.0
YM,1,long,2025-01-03 11:25:00,2025-01-03 11:35:00,10.0,42895.0,42920.0,42895.0,stop_loss,25.0,125.0
CL,1,long,2025-01-03 10:36:00,2025-01-03 16:55:00,379.0,73.63,74.05,73.63,close_all_flatten,42.00000000000017,420.0000000000017
YM,1,long,2025-01-03 11:00:00,2025-01-03 16:55:00,355.0,42895.0,42994.0,42895.0,close_all_flatten,99.0,495.0
YM,1,long,2025-01-03 11:25:00,2025-01-03 16:55:00,330.0,42895.0,42994.0,42895.0,close_all_flatten,99.0,495.0
MNQ,2,long,2025-01-03 11:30:00,2025-01-03 16:55:00,325.0,21435.0,21485.0,21435.0,close_all_flatten,200.0,200.0
MGC,7,short,2025-01-03 12:00:00,2025-01-03 16:55:00,295.0,2657.8,2653.0,2657.8,close_all_flatten,48.00000000000182,336.00000000001273
CL,1,short,2025-01-06 10:48:00,2025-01-06 11:12:00,24.0,74.24,74.08999999999999,74.24,stop_loss,15.000000000000568,150.00000000000568
YM,1,long,2025-01-06 11:10:00,2025-01-06 11:30:00,20.0,43276.0,43351.0,43276.0,profit_target,75.0,375.0
MNQ,2,long,2025-01-06 11:00:00,2025-01-06 12:15:00,75.0,21849.25,21829.25,21849.25,stop_loss,-80.0,-80.0
YM,1,long,2025-01-06 12:40:00,2025-01-06 12:50:00,10.0,43276.0,43251.0,43276.0,stop_loss,-25.0,-125.0
CL,1,short,2025-01-06 10:48:00,2025-01-06 16:55:00,367.0,74.24,73.4,74.24,close_all_flatten,83.99999999999892,839.9999999999892
MNQ,2,long,2025-01-06 11:00:00,2025-01-06 16:55:00,355.0,21849.25,21783.5,21849.25,close_all_flatten,-263.0,-263.0
YM,1,long,2025-01-06 11:10:00,2025-01-06 16:55:00,345.0,43276.0,43020.0,43276.0,close_all_flatten,-256.0,-1280.0
CL,1,short,2025-01-06 11:36:00,2025-01-06 16:55:00,319.0,74.24,73.4,74.24,close_all_flatten,83.99999999999892,839.9999999999892
MGC,7,long,2025-01-06 12:00:00,2025-01-06 16:55:00,295.0,2642.6,2646.3,2642.6,close_all_flatten,37.00000000000273,259.0000000000191
YM,1,long,2025-01-06 12:40:00,2025-01-06 16:55:00,255.0,43276.0,43020.0,43276.0,close_all_flatten,-256.0,-1280.0
MNQ,2,short,2025-01-07 11:00:00,2025-01-07 11:05:00,5.0,21694.75,21545.5,21694.75,profit_target,597.0,597.0
YM,1,short,2025-01-07 11:00:00,2025-01-07 11:10:00,10.0,43094.0,43059.0,43094.0,stop_loss,35.0,175.0
CL,1,long,2025-01-07 11:00:00,2025-01-07 11:24:00,24.0,74.31,73.86,74.31,stop_loss,-45.000000000000284,-450.00000000000284
MNQ,2,short,2025-01-07 11:00:00,2025-01-07 16:55:00,355.0,21694.75,21369.25,21694.75,close_all_flatten,1302.0,1302.0
YM,1,short,2025-01-07 11:00:00,2025-01-07 16:55:00,355.0,43094.0,42788.0,43094.0,close_all_flatten,306.0,1530.0
CL,1,long,2025-01-07 11:00:00,2025-01-07 16:55:00,355.0,74.31,74.43,74.31,close_all_flatten,12.000000000000455,120.00000000000455
MGC,7,short,2025-01-07 12:00:00,2025-01-07 16:55:00,295.0,2667.0,2663.0,2667.0,close_all_flatten,40.0,280.0
MNQ,2,short,2025-01-08 11:05:00,2025-01-08 11:10:00,5.0,21285.5,21305.5,21285.5,stop_loss,-80.0,-80.0
YM,1,short,2025-01-08 11:00:00,2025-01-08 11:10:00,10.0,42780.0,42755.0,42780.0,stop_loss,25.0,125.0
CL,1,short,2025-01-08 10:36:00,2025-01-08 11:24:00,48.0,74.31,73.51,74.31,stop_loss,79.99999999999972,799.9999999999972
YM,1,short,2025-01-08 11:20:00,2025-01-08 11:30:00,10.0,42780.0,42805.0,42780.0,stop_loss,-25.0,-125.0
MNQ,2,long,2025-01-08 11:35:00,2025-01-08 12:00:00,25.0,21385.25,21365.25,21385.25,stop_loss,-80.0,-80.0
MGC,7,long,2025-01-08 12:00:00,2025-01-08 12:24:00,24.0,2683.0,2677.3,2683.0,stop_loss,-56.99999999999818,-398.99999999998727
CL,1,short,2025-01-08 10:36:00,2025-01-08 16:55:00,379.0,74.31,73.31,74.31,close_all_flatten,100.0,1000.0
YM,1,short,2025-01-08 11:00:00,2025-01-08 16:55:00,355.0,42780.0,42899.0,42780.0,close_all_flatten,-119.0,-595.0
MNQ,2,short,2025-01-08 11:05:00,2025-01-08 16:55:00,350.0,21285.5,21332.0,21285.5,close_all_flatten,-186.0,-186.0
YM,1,short,2025-01-08 11:20:00,2025-01-08 16:55:00,335.0,42780.0,42899.0,42780.0,close_all_flatten,-119.0,-595.0
MNQ,2,long,2025-01-08 11:35:00,2025-01-08 16:55:00,320.0,21385.25,21332.0,21385.25,close_all_flatten,-213.0,-213.0
MGC,7,long,2025-01-08 12:00:00,2025-01-08 16:55:00,295.0,2683.0,2679.9,2683.0,close_all_flatten,-30.99999999999909,-216.99999999999363
CL,1,long,2025-01-09 10:36:00,2025-01-09 11:00:00,24.0,73.89,74.09,73.89,stop_loss,20.000000000000284,200.00000000000284
CL,1,long,2025-01-09 10:36:00,2025-01-09 16:55:00,379.0,73.89,74.3,73.89,close_all_flatten,40.99999999999966,409.9999999999966
MGC,7,short,2025-01-09 12:00:00,2025-01-09 16:55:00,295.0,2684.5,2692.7,2684.5,close_all_flatten,-81.99999999999818,-573.9999999999873
MNQ,2,short,2025-01-10 11:00:00,2025-01-10 11:05:00,5.0,21009.5,20949.5,21009.5,profit_target,240.0,240.0
YM,1,short,2025-01-10 11:00:00,2025-01-10 11:05:00,5.0,42506.0,42204.0,42506.0,profit_target,302.0,1510.0
CL,1,short,2025-01-10 10:36:00,2025-01-10 11:12:00,36.0,76.73,75.53,76.73,stop_loss,120.00000000000028,1200.0000000000027
MNQ,2,short,2025-01-10 12:40:00,2025-01-10 12:55:00,15.0,21009.5,21029.5,21009.5,stop_loss,-80.0,-80.0
CL,1,short,2025-01-10 10:36:00,2025-01-10 16:55:00,379.0,76.73,76.54,76.73,close_all_flatten,18.999999999999773,189.99999999999773
MNQ,2,short,2025-01-10 11:00:00,2025-01-10 16:55:00,355.0,21009.5,20994.5,21009.5,close_all_flatten,60.0,60.0
YM,1,short,2025-01-10 11:00:00,2025-01-10 16:55:00,355.0,42506.0,42220.0,42506.0,close_all_flatten,286.0,1430.0
MNQ,2,short,2025-01-10 12:40:00,2025-01-10 16:55:00,255.0,21009.5,20994.5,21009.5,close_all_flatten,60.0,60.0
YM,1,long,2025-01-13 11:00:00,2025-01-13 11:05:00,5.0,42134.0,42311.0,42134.0,profit_target,177.0,885.0
CL,1,long,2025-01-13 10:36:00,2025-01-13 11:12:00,36.0,77.91,78.81,77.91,stop_loss,90.00000000000057,900.0000000000057
MNQ,2,long,2025-01-13 12:15:00,2025-01-13 12:55:00,40.0,20826.75,20886.75,20826.75,profit_target,240.0,240.0
CL,1,long,2025-01-13 10:36:00,2025-01-13 16:55:00,379.0,77.91,78.8,77.91,close_all_flatten,89.00000000000006,890.0000000000006
YM,1,long,2025-01-13 11:00:00,2025-01-13 16:55:00,355.0,42134.0,42560.0,42134.0,close_all_flatten,426.0,2130.0
MGC,7,short,2025-01-13 12:00:00,2025-01-13 16:55:00,295.0,2682.3,2682.2,2682.3,close_all_flatten,1.000000000003638,7.000000000025466
MNQ,2,long,2025-01-13 12:15:00,2025-01-13 16:55:00,280.0,20826.75,20979.75,20826.75,close_all_flatten,612.0,612.0
MNQ,2,short,2025-01-14 11:00:00,2025-01-14 11:05:00,5.0,20990.0,20887.5,20990.0,profit_target,410.0,410.0
YM,1,short,2025-01-14 11:00:00,2025-01-14 11:10:00,10.0,42603.0,42578.0,42603.0,stop_loss,25.0,125.0
CL,1,short,2025-01-14 10:36:00,2025-01-14 11:12:00,36.0,77.97,77.82,77.97,stop_loss,15.000000000000568,150.00000000000568
YM,1,short,2025-01-14 11:25:00,2025-01-14 11:30:00,5.0,42603.0,42528.0,42603.0,profit_target,75.0,375.0
CL,1,short,2025-01-14 11:36:00,2025-01-14 12:00:00,24.0,77.97,77.62,77.97,stop_loss,34.99999999999943,349.9999999999943
CL,1,short,2025-01-14 10:36:00,2025-01-14 16:55:00,379.0,77.97,78.06,77.97,close_all_flatten,-9.000000000000341,-90.00000000000341
MNQ,2,short,2025-01-14 11:00:00,2025-01-14 16:55:00,355.0,20990.0,20974.0,20990.0,close_all_flatten,64.0,64.0
YM,1,short,2025-01-14 11:00:00,2025-01-14 16:55:00,355.0,42603.0,42809.0,42603.0,close_all_flatten,-206.0,-1030.0
YM,1,short,2025-01-14 11:25:00,2025-01-14 16:55:00,330.0,42603.0,42809.0,42603.0,close_all_flatten,-206.0,-1030.0
CL,1,short,2025-01-14 11:36:00,2025-01-14 16:55:00,319.0,77.97,78.06,77.97,close_all_flatten,-9.000000000000341,-90.00000000000341
MGC,7,long,2025-01-14 12:00:00,2025-01-14 16:55:00,295.0,2678.7,2692.8,2678.7,close_all_flatten,141.00000000000364,987.0000000000255
CL,1,long,2025-01-15 10:36:00,2025-01-15 11:00:00,24.0,78.5,78.95,78.5,stop_loss,45.000000000000284,450.00000000000284
MNQ,2,long,2025-01-15 11:00:00,2025-01-15 11:05:00,5.0,21345.5,21325.5,21345.5,stop_loss,-80.0,-80.0
MNQ,2,long,2025-01-15 11:15:00,2025-01-15 11:20:00,5.0,21345.5,21325.5,21345.5,stop_loss,-80.0,-80.0
YM,1,short,2025-01-15 11:15:00,2025-01-15 11:20:00,5.0,43359.0,43384.0,43359.0,stop_loss,-25.0,-125.0
YM,1,short,2025-01-15 11:30:00,2025-01-15 11:40:00,10.0,43359.0,43324.0,43359.0,stop_loss,35.0,175.0
CL,1,long,2025-01-15 10:36:00,2025-01-15 16:55:00,379.0,78.5,80.44,78.5,close_all_flatten,193.99999999999977,1939.9999999999977
MNQ,2,long,2025-01-15 11:00:00,2025-01-15 16:55:00,355.0,21345.5,21375.0,21345.5,close_all_flatten,118.0,118.0
MNQ,2,long,2025-01-15 11:15:00,2025-01-15 16:55:00,340.0,21345.5,21375.0,21345.5,close_all_flatten,118.0,118.0
YM,1,short,2025-01-15 11:15:00,2025-01-15 16:55:00,340.0,43359.0,43475.0,43359.0,close_all_flatten,-116.0,-580.0
YM,1,short,2025-01-15 11:30:00,2025-01-15 16:55:00,325.0,43359.0,43475.0,43359.0,close_all_flatten,-116.0,-580.0
CL,1,short,2025-01-16 10:36:00,2025-01-16 11:00:00,24.0,78.17,77.87,78.17,stop_loss,29.999999999999716,299.99999999999716
MNQ,2,long,2025-01-16 11:05:00,2025-01-16 11:10:00,5.0,21474.5,21454.5,21474.5,stop_loss,-80.0,-80.0
YM,1,long,2025-01-16 11:05:00,2025-01-16 11:10:00,5.0,43447.0,43422.0,43447.0,stop_loss,-25.0,-125.0
YM,1,long,2025-01-16 11:30:00,2025-01-16 11:35:00,5.0,43447.0,43422.0,43447.0,stop_loss,-25.0,-125.0
MNQ,2,short,2025-01-16 11:35:00,2025-01-16 11:55:00,20.0,21369.0,21389.0,21369.0,stop_loss,-80.0,-80.0
CL,1,short,2025-01-16 10:36:00,2025-01-16 16:55:00,379.0,78.17,77.9,78.17,close_all_flatten,26.999999999999602,269.999999999996
MNQ,2,long,2025-01-16 11:05:00,2025-01-16 16:55:00,350.0,21474.5,21210.0,21474.5,close_all_flatten,-1058.0,-1058.0
YM,1,long,2025-01-16 11:05:00,2025-01-16 16:55:00,350.0,43447.0,43333.0,43447.0,close_all_flatten,-114.0,-570.0
YM,1,long,2025-01-16 11:30:00,2025-01-16 16:55:00,325.0,43447.0,43333.0,43447.0,close_all_flatten,-114.0,-570.0
MNQ,2,short,2025-01-16 11:35:00,2025-01-16 16:55:00,320.0,21369.0,21210.0,21369.0,close_all_flatten,636.0,636.0
MGC,7,long,2025-01-16 12:00:00,2025-01-16 16:55:00,295.0,2750.2,2747.0,2750.2,close_all_flatten,-31.99999999999818,-223.99999999998727
YM,1,long,2025-01-17 11:00:00,2025-01-17 11:05:00,5.0,43695.0,43770.0,43695.0,profit_target,75.0,375.0
CL,1,short,2025-01-17 10:36:00,2025-01-17 11:48:00,72.0,77.19,77.64,77.19,stop_loss,-45.000000000000284,-450.00000000000284
MNQ,2,long,2025-01-17 11:00:00,2025-01-17 12:00:00,60.0,21587.5,21567.5,21587.5,stop_loss,-80.0,-80.0
CL,1,short,2025-01-17 10:36:00,2025-01-17 16:55:00,379.0,77.19,77.37,77.19,close_all_flatten,-18.000000000000682,-180.00000000000682
MNQ,2,long,2025-01-17 11:00:00,2025-01-17 16:55:00,355.0,21587.5,21584.75,21587.5,close_all_flatten,-11.0,-11.0
YM,1,long,2025-01-17 11:00:00,2025-01-17 16:55:00,355.0,43695.0,43677.0,43695.0,close_all_flatten,-18.0,-90.0
MGC,7,long,2025-01-17 12:00:00,2025-01-17 16:55:00,295.0,2742.3,2740.3,2742.3,close_all_flatten,-20.0,-140.0
MNQ,2,long,2025-01-17 12:10:00,2025-01-17 16:55:00,285.0,21587.5,21584.75,21587.5,close_all_flatten,-11.0,-11.0
CL,1,long,2025-01-17 12:12:00,2025-01-17 16:55:00,283.0,77.68,77.37,77.68,close_all_flatten,-31.000000000000227,-310.0000000000023
YM,1,short,2025-01-20 11:00:00,2025-01-20 11:05:00,5.0,43817.0,43842.0,43817.0,stop_loss,-25.0,-125.0
CL,1,short,2025-01-20 10:48:00,2025-01-20 11:48:00,60.0,75.95,76.4,75.95,stop_loss,-45.000000000000284,-450.00000000000284
CL,1,long,2025-01-20 12:12:00,2025-01-20 12:24:00,12.0,76.47,76.02,76.47,stop_loss,-45.000000000000284,-450.00000000000284
MNQ,2,short,2025-01-20 11:00:00,2025-01-20 12:25:00,85.0,21725.0,21665.0,21725.0,profit_target,240.0,240.0
YM,1,short,2025-01-20 12:20:00,2025-01-20 12:25:00,5.0,43817.0,43842.0,43817.0,stop_loss,-25.0,-125.0
MNQ,2,short,2025-01-20 11:00:00,2025-01-20 12:59:00,119.0,21725.0,21683.0,21725.0,close_all_flatten,168.0,168.0
YM,1,short,2025-01-20 11:00:00,2025-01-20 12:59:00,119.0,43817.0,43858.0,43817.0,close_all_flatten,-41.0,-205.0
YM,1,short,2025-01-20 12:20:00,2025-01-20 12:59:00,39.0,43817.0,43858.0,43817.0,close_all_flatten,-41.0,-205.0
CL,1,short,2025-01-20 10:48:00,2025-01-20 14:29:00,221.0,75.95,76.39,75.95,close_all_flatten,-43.99999999999977,-439.9999999999977
MGC,7,short,2025-01-20 12:00:00,2025-01-20 14:29:00,149.0,2730.8,2730.8,2730.8,close_all_flatten,0.0,0.0
CL,1,long,2025-01-20 12:12:00,2025-01-20 14:29:00,137.0,76.47,76.39,76.47,close_all_flatten,-7.9999999999998295,-79.9999999999983
CL,1,long,2025-01-21 10:36:00,2025-01-21 11:00:00,24.0,75.73,75.98,75.73,stop_loss,25.0,250.0
YM,1,long,2025-01-21 11:00:00,2025-01-21 11:05:00,5.0,43912.0,44044.0,43912.0,profit_target,132.0,660.0
CL,1,long,2025-01-21 10:36:00,2025-01-21 16:55:00,379.0,75.73,75.91,75.73,close_all_flatten,17.99999999999926,179.9999999999926
YM,1,long,2025-01-21 11:00:00,2025-01-21 16:55:00,355.0,43912.0,44254.0,43912.0,close_all_flatten,342.0,1710.0
MGC,7,long,2025-01-21 12:00:00,2025-01-21 16:55:00,295.0,2746.0,2758.6,2746.0,close_all_flatten,125.99999999999909,881.9999999999936
MNQ,2,long,2025-01-21 12:35:00,2025-01-21 16:55:00,260.0,21709.25,21772.0,21709.25,close_all_flatten,251.0,251.0
CL,1,short,2025-01-22 10:36:00,2025-01-22 10:48:00,12.0,75.57,76.02,75.57,stop_loss,-45.000000000000284,-450.00000000000284
YM,1,short,2025-01-22 11:00:00,2025-01-22 11:10:00,10.0,44343.0,44268.0,44343.0,profit_target,75.0,375.0
MNQ,2,long,2025-01-22 11:00:00,2025-01-22 11:50:00,50.0,22012.25,22072.25,22012.25,profit_target,240.0,240.0
YM,1,short,2025-01-22 11:30:00,2025-01-22 11:50:00,20.0,44343.0,44338.0,44343.0,stop_loss,5.0,25.0
CL,1,short,2025-01-22 11:12:00,2025-01-22 12:12:00,60.0,75.57,76.02,75.57,stop_loss,-45.000000000000284,-450.00000000000284
CL,1,short,2025-01-22 10:36:00,2025-01-22 16:55:00,379.0,75.57,75.38,75.57,close_all_flatten,18.999999999999773,189.99999999999773
MNQ,2,long,2025-01-22 11:00:00,2025-01-22 16:55:00,355.0,22012.25,21975.25,22012.25,close_all_flatten,-148.0,-148.0
YM,1,short,2025-01-22 11:00:00,2025-01-22 16:55:00,355.0,44343.0,44338.0,44343.0,close_all_flatten,5.0,25.0
CL,1,short,2025-01-22 11:12:00,2025-01-22 16:55:00,343.0,75.57,75.38,75.57,close_all_flatten,18.999999999999773,189.99999999999773
YM,1,short,2025-01-22 11:30:00,2025-01-22 16:55:00,325.0,44343.0,44338.0,44343.0,close_all_flatten,5.0,25.0
MGC,7,long,2025-01-22 12:00:00,2025-01-22 16:55:00,295.0,2769.3,2766.0,2769.3,close_all_flatten,-33.00000000000182,-231.00000000001273
YM,1,long,2025-01-23 11:00:00,2025-01-23 11:05:00,5.0,44412.0,44542.0,44412.0,profit_target,130.0,650.0
MNQ,2,long,2025-01-23 11:00:00,2025-01-23 11:10:00,10.0,21918.5,21898.5,21918.5,stop_loss,-80.0,-80.0
CL,1,long,2025-01-23 10:36:00,2025-01-23 11:12:00,36.0,75.83,75.38,75.83,stop_loss,-45.000000000000284,-450.00000000000284
CL,1,long,2025-01-23 10:36:00,2025-01-23 16:55:00,379.0,75.83,74.3,75.83,close_all_flatten,-153.0000000000001,-1530.0000000000011
MNQ,2,long,2025-01-23 11:00:00,2025-01-23 16:55:00,355.0,21918.5,22019.75,21918.5,close_all_flatten,405.0,405.0
YM,1,long,2025-01-23 11:00:00,2025-01-23 16:55:00,355.0,44412.0,44727.0,44412.0,close_all_flatten,315.0,1575.0
MNQ,2,long,2025-01-23 11:20:00,2025-01-23 16:55:00,335.0,21918.5,22019.75,21918.5,close_all_flatten,405.0,405.0
MGC,7,long,2025-01-23 12:00:00,2025-01-23 16:55:00,295.0,2755.2,2761.8,2755.2,close_all_flatten,66.00000000000364,462.00000000002547
CL,1,short,2025-01-24 10:36:00,2025-01-24 11:00:00,24.0,74.74,74.44,74.74,stop_loss,29.999999999999716,299.99999999999716
MNQ,2,short,2025-01-24 11:00:00,2025-01-24 11:35:00,35.0,21999.25,22019.25,21999.25,stop_loss,-80.0,-80.0
YM,1,long,2025-01-24 11:10:00,2025-01-24 12:00:00,50.0,44693.0,44668.0,44693.0,stop_loss,-25.0,-125.0
YM,1,long,2025-01-24 12:10:00,2025-01-24 12:25:00,15.0,44693.0,44708.0,44693.0,stop_loss,15.0,75.0
MNQ,2,short,2025-01-24 11:55:00,2025-01-24 12:55:00,60.0,21999.25,21939.25,21999.25,profit_target,240.0,240.0
CL,1,short,2025-01-24 10:36:00,2025-01-24 16:55:00,379.0,74.74,74.57,74.74,close_all_flatten,17.00000000000017,170.0000000000017
MNQ,2,short,2025-01-24 11:00:00,2025-01-24 16:55:00,355.0,21999.25,21906.25,21999.25,close_all_flatten,372.0,372.0
YM,1,long,2025-01-24 11:10:00,2025-01-24 16:55:00,345.0,44693.0,44590.0,44693.0,close_all_flatten,-103.0,-515.0
MNQ,2,short,2025-01-24 11:55:00,2025-01-24 16:55:00,300.0,21999.25,21906.25,21999.25,close_all_flatten,372.0,372.0
MGC,7,short,2025-01-24 12:00:00,2025-01-24 16:55:00,295.0,2778.9,2777.9,2778.9,close_all_flatten,10.0,70.0
YM,1,long,2025-01-24 12:10:00,2025-01-24 16:55:00,285.0,44693.0,44590.0,44693.0,close_all_flatten,-103.0,-515.0
YM,1,long,2025-01-27 11:00:00,2025-01-27 11:05:00,5.0,44292.0,44540.0,44292.0,profit_target,248.0,1240.0
CL,1,short,2025-01-27 10:36:00,2025-01-27 11:12:00,36.0,74.17,73.37,74.17,stop_loss,79.99999999999972,799.9999999999972
MNQ,2,short,2025-01-27 11:25:00,2025-01-27 11:30:00,5.0,21202.75,21222.75,21202.75,stop_loss,-80.0,-80.0
MNQ,2,short,2025-01-27 11:40:00,2025-01-27 11:45:00,5.0,21202.75,21222.75,21202.75,stop_loss,-80.0,-80.0
CL,1,short,2025-01-27 10:36:00,2025-01-27 16:55:00,379.0,74.17,73.09,74.17,close_all_flatten,107.99999999999983,1079.9999999999982
YM,1,long,2025-01-27 11:00:00,2025-01-27 16:55:00,355.0,44292.0,44898.0,44292.0,close_all_flatten,606.0,3030.0
MNQ,2,short,2025-01-27 11:25:00,2025-01-27 16:55:00,330.0,21202.75,21294.75,21202.75,close_all_flatten,-368.0,-368.0
