instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
YM,1,short,2025-01-02 11:00:00,2025-01-02 11:05:00,5.0,43103.0,42794.0,43103.0,profit_target,309.0,1545.0
MNQ,4,short,2025-01-02 12:25:00,2025-01-02 12:30:00,5.0,21166.0,21106.0,21166.0,profit_target,240.0,480.0
YM,1,short,2025-01-02 11:00:00,2025-01-02 16:55:00,355.0,43103.0,42719.0,43103.0,close_all_flatten,384.0,1920.0
MGC,5,long,2025-01-02 12:00:00,2025-01-02 16:55:00,295.0,2665.3,2670.7,2665.3,close_all_flatten,53.99999999999636,269.9999999999818
MNQ,4,short,2025-01-02 12:25:00,2025-01-02 16:55:00,270.0,21166.0,21181.0,21166.0,close_all_flatten,-60.0,-120.0
YM,1,long,2025-01-03 11:00:00,2025-01-03 11:05:00,5.0,42895.0,42870.0,42895.0,stop_loss,-25.0,-125.0
YM,1,long,2025-01-03 11:25:00,2025-01-03 11:35:00,10.0,42895.0,42920.0,42895.0,stop_loss,25.0,125.0
YM,1,long,2025-01-03 11:00:00,2025-01-03 16:55:00,355.0,42895.0,42994.0,42895.0,close_all_flatten,99.0,495.0
YM,1,long,2025-01-03 11:25:00,2025-01-03 16:55:00,330.0,42895.0,42994.0,42895.0,close_all_flatten,99.0,495.0
MNQ,4,long,2025-01-03 11:30:00,2025-01-03 16:55:00,325.0,21435.0,21485.0,21435.0,close_all_flatten,200.0,400.0
MGC,5,short,2025-01-03 12:00:00,2025-01-03 16:55:00,295.0,2657.8,2653.0,2657.8,close_all_flatten,48.00000000000182,240.0000000000091
YM,1,long,2025-01-06 11:10:00,2025-01-06 11:30:00,20.0,43276.0,43351.0,43276.0,profit_target,75.0,375.0
MNQ,4,long,2025-01-06 11:00:00,2025-01-06 12:15:00,75.0,21849.25,21829.25,21849.25,stop_loss,-80.0,-160.0
YM,1,long,2025-01-06 12:40:00,2025-01-06 12:50:00,10.0,43276.0,43251.0,43276.0,stop_loss,-25.0,-125.0
MNQ,4,long,2025-01-06 11:00:00,2025-01-06 16:55:00,355.0,21849.25,21783.5,21849.25,close_all_flatten,-263.0,-526.0
YM,1,long,2025-01-06 11:10:00,2025-01-06 16:55:00,345.0,43276.0,43020.0,43276.0,close_all_flatten,-256.0,-1280.0
MGC,5,long,2025-01-06 12:00:00,2025-01-06 16:55:00,295.0,2642.6,2646.3,2642.6,close_all_flatten,37.00000000000273,185.00000000001364
YM,1,long,2025-01-06 12:40:00,2025-01-06 16:55:00,255.0,43276.0,43020.0,43276.0,close_all_flatten,-256.0,-1280.0
MNQ,4,short,2025-01-07 11:00:00,2025-01-07 11:05:00,5.0,21694.75,21545.5,21694.75,profit_target,597.0,1194.0
YM,1,short,2025-01-07 11:00:00,2025-01-07 11:10:00,10.0,43094.0,43059.0,43094.0,stop_loss,35.0,175.0
MNQ,4,short,2025-01-07 11:00:00,2025-01-07 16:55:00,355.0,21694.75,21369.25,21694.75,close_all_flatten,1302.0,2604.0
YM,1,short,2025-01-07 11:00:00,2025-01-07 16:55:00,355.0,43094.0,42788.0,43094.0,close_all_flatten,306.0,1530.0
MGC,5,short,2025-01-07 12:00:00,2025-01-07 16:55:00,295.0,2667.0,2663.0,2667.0,close_all_flatten,40.0,200.0
MNQ,4,short,2025-01-08 11:05:00,2025-01-08 11:10:00,5.0,21285.5,21305.5,21285.5,stop_loss,-80.0,-160.0
YM,1,short,2025-01-08 11:00:00,2025-01-08 11:10:00,10.0,42780.0,42755.0,42780.0,stop_loss,25.0,125.0
YM,1,short,2025-01-08 11:20:00,2025-01-08 11:30:00,10.0,42780.0,42805.0,42780.0,stop_loss,-25.0,-125.0
