entry_ts,exit_ts,direction,pnl_ticks
2021-07-12 10:36:00 UTC,2021-07-12 11:24:00 UTC,long,4.999999999999716
2021-07-13 10:48:00 UTC,2021-07-13 12:12:00 UTC,long,79.99999999999972
2021-07-14 10:36:00 UTC,2021-07-14 11:12:00 UTC,short,20.000000000000284
2021-07-15 10:48:00 UTC,2021-07-15 11:12:00 UTC,long,34.99999999999943
2021-07-15 12:12:00 UTC,2021-07-15 16:52:00 UTC,long,-95.00000000000028
2021-07-16 10:36:00 UTC,2021-07-16 11:00:00 UTC,short,84.99999999999943
2021-07-16 11:24:00 UTC,2021-07-16 16:54:00 UTC,short,40.00000000000057
2021-07-19 10:36:00 UTC,2021-07-19 10:48:00 UTC,short,134.99999999999943
2021-07-20 10:36:00 UTC,2021-07-20 11:12:00 UTC,long,90.00000000000057
2021-07-21 10:36:00 UTC,2021-07-21 11:00:00 UTC,long,75.0
2021-07-22 11:24:00 UTC,2021-07-22 12:24:00 UTC,long,40.00000000000057
2021-07-23 10:48:00 UTC,2021-07-23 12:12:00 UTC,short,-45.000000000000284
2021-07-26 10:36:00 UTC,2021-07-26 11:24:00 UTC,short,-45.000000000000284
2021-07-27 10:48:00 UTC,2021-07-27 11:36:00 UTC,short,15.000000000000568
2021-07-28 10:36:00 UTC,2021-07-28 11:12:00 UTC,short,9.999999999999432
2021-07-28 11:36:00 UTC,2021-07-28 16:55:00 UTC,long,14.000000000000057
2021-07-29 10:36:00 UTC,2021-07-29 12:00:00 UTC,long,20.000000000000284
2021-07-30 12:24:00 UTC,2021-07-30 16:55:00 UTC,long,-14.000000000000057
2021-08-02 10:36:00 UTC,2021-08-02 10:48:00 UTC,short,134.99999999999943
2021-08-03 10:36:00 UTC,2021-08-03 10:48:00 UTC,long,-45.000000000000284
2021-08-03 11:12:00 UTC,2021-08-03 12:12:00 UTC,long,45.000000000000284
2021-08-04 11:36:00 UTC,2021-08-04 12:00:00 UTC,short,9.999999999999432
2021-08-04 12:24:00 UTC,2021-08-04 16:55:00 UTC,short,26.00000000000051
2021-08-05 10:36:00 UTC,2021-08-05 11:00:00 UTC,long,20.000000000000284
2021-08-06 10:36:00 UTC,2021-08-06 11:00:00 UTC,short,109.99999999999943
