entry_ts,exit_ts,direction,pnl_ticks
2020-02-11 12:00:00 UTC,2020-02-11 12:32:00 UTC,short,38.86771254216228
2020-02-12 12:00:00 UTC,2020-02-12 12:56:00 UTC,long,-11.579399199620184
2020-02-13 12:56:00 UTC,2020-02-13 16:55:00 UTC,long,-10.99999999999909
2020-02-14 12:00:00 UTC,2020-02-14 16:55:00 UTC,long,20.99999999999909
2020-02-18 12:00:00 UTC,2020-02-18 12:08:00 UTC,long,75.0
2020-02-19 12:00:00 UTC,2020-02-19 16:55:00 UTC,long,37.999999999999545
2020-02-20 12:00:00 UTC,2020-02-20 12:40:00 UTC,long,0.0
2020-02-21 12:40:00 UTC,2020-02-21 16:55:00 UTC,long,-10.99999999999909
2020-02-24 12:00:00 UTC,2020-02-24 16:55:00 UTC,short,160.0
2020-02-25 12:00:00 UTC,2020-02-25 12:56:00 UTC,short,-31.84969357963155
2020-02-26 12:00:00 UTC,2020-02-26 12:56:00 UTC,long,0.0
2020-02-27 12:00:00 UTC,2020-02-27 12:40:00 UTC,short,99.12573335713432
2020-03-02 12:32:00 UTC,2020-03-02 12:56:00 UTC,long,-47.19720779380623
2020-03-03 12:00:00 UTC,2020-03-03 12:08:00 UTC,long,325.0
2020-03-04 12:16:00 UTC,2020-03-04 12:48:00 UTC,long,-32.2057184877076
2020-03-05 12:24:00 UTC,2020-03-05 16:55:00 UTC,long,79.00000000000091
2020-03-06 12:00:00 UTC,2020-03-06 16:55:00 UTC,short,-5.0
2020-03-09 12:00:00 UTC,2020-03-09 12:32:00 UTC,short,50.0
2020-03-10 12:00:00 UTC,2020-03-10 16:55:00 UTC,short,60.0
2020-03-11 12:00:00 UTC,2020-03-11 12:08:00 UTC,short,100.0
2020-03-12 12:00:00 UTC,2020-03-12 12:08:00 UTC,short,242.00000000000045
2020-03-13 12:00:00 UTC,2020-03-13 12:08:00 UTC,short,420.9999999999991
2020-03-16 12:00:00 UTC,2020-03-16 12:08:00 UTC,long,345.0
2020-03-17 12:00:00 UTC,2020-03-17 12:08:00 UTC,long,329.0000000000009
2020-03-18 12:00:00 UTC,2020-03-18 12:24:00 UTC,short,0.0
2020-03-20 12:00:00 UTC,2020-03-20 16:55:00 UTC,short,-62.999999999999545
2020-03-23 12:00:00 UTC,2020-03-23 12:08:00 UTC,long,237.99999999999955
2020-03-24 12:00:00 UTC,2020-03-24 12:24:00 UTC,short,100.0
2020-03-25 12:00:00 UTC,2020-03-25 16:55:00 UTC,short,-64.00000000000091
2020-03-26 12:00:00 UTC,2020-03-26 16:55:00 UTC,short,172.00000000000045
2020-03-30 12:08:00 UTC,2020-03-30 12:24:00 UTC,short,-35.2646029863331
2020-03-31 12:24:00 UTC,2020-03-31 16:55:00 UTC,short,270.9999999999991
2020-04-01 12:00:00 UTC,2020-04-01 12:40:00 UTC,long,0.0
2020-04-02 12:00:00 UTC,2020-04-02 16:55:00 UTC,long,57.999999999999545
2020-04-03 12:00:00 UTC,2020-04-03 16:55:00 UTC,long,41.000000000001364
2020-04-06 12:00:00 UTC,2020-04-06 12:48:00 UTC,long,111.30679073255806
2020-04-07 12:48:00 UTC,2020-04-07 16:55:00 UTC,short,60.0
2020-04-09 12:00:00 UTC,2020-04-09 16:55:00 UTC,long,33.999999999998636
2020-04-13 12:00:00 UTC,2020-04-13 12:08:00 UTC,long,157.99999999999955
2020-04-14 12:48:00 UTC,2020-04-14 12:56:00 UTC,short,-35.95036168215074
2020-04-15 12:00:00 UTC,2020-04-15 16:55:00 UTC,short,-17.999999999999545
2020-04-16 12:08:00 UTC,2020-04-16 12:32:00 UTC,short,133.64069085917436
2020-04-17 12:00:00 UTC,2020-04-17 12:48:00 UTC,short,50.0
2020-04-20 12:00:00 UTC,2020-04-20 12:08:00 UTC,long,107.00000000000045
2020-04-21 12:00:00 UTC,2020-04-21 12:40:00 UTC,long,50.0
2020-04-22 12:00:00 UTC,2020-04-22 16:55:00 UTC,long,41.000000000001364
2020-04-24 12:00:00 UTC,2020-04-24 12:08:00 UTC,short,209.0000000000009
2020-04-27 12:00:00 UTC,2020-04-27 16:55:00 UTC,short,50.0
2020-04-28 12:00:00 UTC,2020-04-28 16:55:00 UTC,short,-27.999999999999545
2020-04-30 12:00:00 UTC,2020-04-30 12:16:00 UTC,short,143.32297379562533
2020-05-01 12:00:00 UTC,2020-05-01 12:08:00 UTC,long,144.0000000000009
2020-05-06 12:08:00 UTC,2020-05-06 16:55:00 UTC,short,-2.9999999999995453
2020-05-07 12:00:00 UTC,2020-05-07 12:08:00 UTC,long,120.0
2020-05-08 12:00:00 UTC,2020-05-08 12:08:00 UTC,long,-39.47258845204942
2020-05-11 12:00:00 UTC,2020-05-11 12:08:00 UTC,short,82.27688057007072
2020-05-12 12:00:00 UTC,2020-05-12 12:08:00 UTC,long,-22.5514926657047
