entry_ts,exit_ts,direction,pnl_ticks
2020-02-10 11:00:00 UTC,2020-02-10 11:05:00 UTC,long,146.0
2020-02-11 11:00:00 UTC,2020-02-11 11:15:00 UTC,short,75.0
2020-02-12 11:00:00 UTC,2020-02-12 11:15:00 UTC,long,10.0
2020-02-12 11:40:00 UTC,2020-02-12 12:50:00 UTC,long,25.0
2020-02-13 11:00:00 UTC,2020-02-13 11:10:00 UTC,long,25.0
2020-02-14 11:00:00 UTC,2020-02-14 11:10:00 UTC,short,5.0
2020-02-14 11:20:00 UTC,2020-02-14 12:35:00 UTC,short,30.0
2020-02-17 11:00:00 UTC,2020-02-17 12:59:00 UTC,long,14.0
2020-02-18 11:00:00 UTC,2020-02-18 11:15:00 UTC,short,75.0
2020-02-19 11:00:00 UTC,2020-02-19 12:00:00 UTC,long,25.0
2020-02-20 11:00:00 UTC,2020-02-20 11:10:00 UTC,long,-25.0
2020-02-21 11:00:00 UTC,2020-02-21 11:05:00 UTC,short,81.0
2020-02-21 12:05:00 UTC,2020-02-21 12:40:00 UTC,short,30.0
2020-02-24 11:00:00 UTC,2020-02-24 11:05:00 UTC,long,-25.0
2020-02-24 11:15:00 UTC,2020-02-24 11:25:00 UTC,long,5.0
2020-02-25 11:00:00 UTC,2020-02-25 11:05:00 UTC,short,390.0
2020-02-26 11:00:00 UTC,2020-02-26 11:05:00 UTC,long,204.0
2020-02-26 12:00:00 UTC,2020-02-26 12:05:00 UTC,long,-25.0
2020-02-27 11:00:00 UTC,2020-02-27 11:05:00 UTC,short,-25.0
2020-02-27 11:25:00 UTC,2020-02-27 11:35:00 UTC,short,40.0
2020-03-02 11:00:00 UTC,2020-03-02 11:05:00 UTC,long,96.0
2020-03-03 11:05:00 UTC,2020-03-03 11:10:00 UTC,short,75.0
2020-03-04 11:00:00 UTC,2020-03-04 11:05:00 UTC,short,-25.0
2020-03-04 11:15:00 UTC,2020-03-04 11:20:00 UTC,short,-25.0
2020-03-05 11:00:00 UTC,2020-03-05 11:05:00 UTC,long,75.0
2020-03-05 11:40:00 UTC,2020-03-05 11:45:00 UTC,long,-25.0
2020-03-06 11:00:00 UTC,2020-03-06 11:05:00 UTC,long,233.0
2020-03-09 11:00:00 UTC,2020-03-09 11:05:00 UTC,short,412.0
2020-03-09 11:35:00 UTC,2020-03-09 11:40:00 UTC,short,-25.0
2020-03-10 11:00:00 UTC,2020-03-10 11:05:00 UTC,short,479.0
2020-03-11 11:05:00 UTC,2020-03-11 11:10:00 UTC,short,-25.0
2020-03-11 11:20:00 UTC,2020-03-11 11:25:00 UTC,short,158.0
2020-03-12 11:00:00 UTC,2020-03-12 11:05:00 UTC,short,665.0
