entry_ts,exit_ts,direction,pnl_ticks
2020-01-02 11:00:00 UTC,2020-01-02 16:55:00 UTC,short,-274.0
2020-01-03 11:00:00 UTC,2020-01-03 11:50:00 UTC,short,-80.0
2020-01-03 12:00:00 UTC,2020-01-03 16:55:00 UTC,long,-133.0
2020-01-06 11:00:00 UTC,2020-01-06 16:55:00 UTC,long,233.0
2020-01-07 11:00:00 UTC,2020-01-07 16:55:00 UTC,long,-135.0
2020-01-08 11:00:00 UTC,2020-01-08 11:15:00 UTC,short,-80.0
2020-01-08 11:25:00 UTC,2020-01-08 16:55:00 UTC,long,242.0
2020-01-09 11:25:00 UTC,2020-01-09 16:55:00 UTC,short,-50.0
2020-01-10 11:00:00 UTC,2020-01-10 11:50:00 UTC,long,-80.0
2020-01-10 12:05:00 UTC,2020-01-10 16:55:00 UTC,short,95.0
2020-01-13 11:00:00 UTC,2020-01-13 16:55:00 UTC,long,249.0
2020-01-14 12:00:00 UTC,2020-01-14 16:55:00 UTC,long,-55.0
2020-01-15 11:00:00 UTC,2020-01-15 12:50:00 UTC,long,-80.0
2020-01-16 11:00:00 UTC,2020-01-16 16:55:00 UTC,short,-174.0
2020-01-17 11:10:00 UTC,2020-01-17 16:55:00 UTC,short,-129.0
2020-01-20 11:00:00 UTC,2020-01-20 12:59:00 UTC,short,-31.0
2020-01-21 11:05:00 UTC,2020-01-21 16:55:00 UTC,long,-14.0
2020-01-22 11:10:00 UTC,2020-01-22 11:35:00 UTC,short,-80.0
2020-01-22 12:20:00 UTC,2020-01-22 12:55:00 UTC,short,-80.0
2020-01-23 11:00:00 UTC,2020-01-23 16:55:00 UTC,long,283.0
2020-01-24 11:00:00 UTC,2020-01-24 12:05:00 UTC,short,240.0
2020-01-27 11:20:00 UTC,2020-01-27 11:30:00 UTC,short,-80.0
2020-01-27 12:10:00 UTC,2020-01-27 16:55:00 UTC,long,-118.0
2020-01-28 11:00:00 UTC,2020-01-28 11:25:00 UTC,long,240.0
2020-01-29 11:00:00 UTC,2020-01-29 12:50:00 UTC,short,-80.0
2020-01-30 11:00:00 UTC,2020-01-30 16:55:00 UTC,short,-617.0
2020-01-31 11:00:00 UTC,2020-01-31 11:10:00 UTC,short,240.0
2020-02-03 11:00:00 UTC,2020-02-03 16:55:00 UTC,long,-44.0
2020-02-04 11:00:00 UTC,2020-02-04 16:55:00 UTC,long,342.0
2020-02-05 11:00:00 UTC,2020-02-05 16:55:00 UTC,short,-72.0
2020-02-06 11:00:00 UTC,2020-02-06 16:55:00 UTC,long,235.0
2020-02-07 11:00:00 UTC,2020-02-07 16:55:00 UTC,long,-50.0
2020-02-10 11:00:00 UTC,2020-02-10 16:55:00 UTC,long,345.0
2020-02-11 11:00:00 UTC,2020-02-11 11:40:00 UTC,long,-80.0
2020-02-11 12:15:00 UTC,2020-02-11 16:55:00 UTC,long,-166.0
2020-02-12 11:25:00 UTC,2020-02-12 16:55:00 UTC,long,82.0
2020-02-13 11:00:00 UTC,2020-02-13 16:55:00 UTC,long,128.0
2020-02-14 11:15:00 UTC,2020-02-14 12:05:00 UTC,long,-80.0
2020-02-14 12:20:00 UTC,2020-02-14 16:55:00 UTC,short,-125.0
2020-02-17 11:00:00 UTC,2020-02-17 12:59:00 UTC,long,6.0
2020-02-18 11:00:00 UTC,2020-02-18 11:20:00 UTC,long,-80.0
2020-02-18 11:35:00 UTC,2020-02-18 12:35:00 UTC,short,-80.0
2020-02-19 11:00:00 UTC,2020-02-19 16:55:00 UTC,long,61.0
2020-02-20 11:10:00 UTC,2020-02-20 11:25:00 UTC,short,240.0
2020-02-21 12:50:00 UTC,2020-02-21 16:55:00 UTC,short,104.0
2020-02-24 11:00:00 UTC,2020-02-24 11:15:00 UTC,short,-80.0
