entry_ts,exit_ts,direction,pnl_ticks
2025-01-02 17:25:00 UTC,2025-01-02 17:30:00 UTC,short,240.0
2025-01-02 17:25:00 UTC,2025-01-02 21:55:00 UTC,short,-60.0
2025-01-03 16:30:00 UTC,2025-01-03 21:55:00 UTC,long,200.0
2025-01-06 16:00:00 UTC,2025-01-06 17:15:00 UTC,long,-80.0
2025-01-06 16:00:00 UTC,2025-01-06 21:55:00 UTC,long,-263.0
2025-01-07 16:00:00 UTC,2025-01-07 16:05:00 UTC,short,597.0
2025-01-07 16:00:00 UTC,2025-01-07 21:55:00 UTC,short,1302.0
2025-01-08 16:05:00 UTC,2025-01-08 16:10:00 UTC,short,-80.0
2025-01-08 16:35:00 UTC,2025-01-08 17:00:00 UTC,long,-80.0
2025-01-08 16:05:00 UTC,2025-01-08 21:55:00 UTC,short,-186.0
2025-01-08 16:35:00 UTC,2025-01-08 21:55:00 UTC,long,-213.0
2025-01-10 16:00:00 UTC,2025-01-10 16:05:00 UTC,short,240.0
2025-01-10 17:40:00 UTC,2025-01-10 17:55:00 UTC,short,-80.0
2025-01-10 16:00:00 UTC,2025-01-10 21:55:00 UTC,short,60.0
2025-01-10 17:40:00 UTC,2025-01-10 21:55:00 UTC,short,60.0
2025-01-13 17:15:00 UTC,2025-01-13 17:55:00 UTC,long,240.0
2025-01-13 17:15:00 UTC,2025-01-13 21:55:00 UTC,long,612.0
2025-01-14 16:00:00 UTC,2025-01-14 16:05:00 UTC,short,410.0
2025-01-14 16:00:00 UTC,2025-01-14 21:55:00 UTC,short,64.0
2025-01-15 16:00:00 UTC,2025-01-15 16:05:00 UTC,long,-80.0
2025-01-15 16:15:00 UTC,2025-01-15 16:20:00 UTC,long,-80.0
2025-01-15 16:00:00 UTC,2025-01-15 21:55:00 UTC,long,118.0
2025-01-15 16:15:00 UTC,2025-01-15 21:55:00 UTC,long,118.0
2025-01-16 16:05:00 UTC,2025-01-16 16:10:00 UTC,long,-80.0
2025-01-16 16:35:00 UTC,2025-01-16 16:55:00 UTC,short,-80.0
2025-01-16 16:05:00 UTC,2025-01-16 21:55:00 UTC,long,-1058.0
2025-01-16 16:35:00 UTC,2025-01-16 21:55:00 UTC,short,636.0
