entry_ts,exit_ts,direction,pnl_ticks
2025-01-02 16:00:00 UTC,2025-01-02 16:05:00 UTC,short,309.0
2025-01-02 16:00:00 UTC,2025-01-02 21:55:00 UTC,short,384.0
2025-01-03 16:00:00 UTC,2025-01-03 16:05:00 UTC,long,-25.0
2025-01-03 16:25:00 UTC,2025-01-03 16:35:00 UTC,long,25.0
2025-01-03 16:00:00 UTC,2025-01-03 21:55:00 UTC,long,99.0
2025-01-03 16:25:00 UTC,2025-01-03 21:55:00 UTC,long,99.0
2025-01-06 16:10:00 UTC,2025-01-06 16:30:00 UTC,long,75.0
2025-01-06 17:40:00 UTC,2025-01-06 17:50:00 UTC,long,-25.0
2025-01-06 16:10:00 UTC,2025-01-06 21:55:00 UTC,long,-256.0
2025-01-06 17:40:00 UTC,2025-01-06 21:55:00 UTC,long,-256.0
2025-01-07 16:00:00 UTC,2025-01-07 16:10:00 UTC,short,35.0
2025-01-07 16:00:00 UTC,2025-01-07 21:55:00 UTC,short,306.0
2025-01-08 16:00:00 UTC,2025-01-08 16:10:00 UTC,short,25.0
2025-01-08 16:20:00 UTC,2025-01-08 16:30:00 UTC,short,-25.0
2025-01-08 16:00:00 UTC,2025-01-08 21:55:00 UTC,short,-119.0
2025-01-08 16:20:00 UTC,2025-01-08 21:55:00 UTC,short,-119.0
2025-01-10 16:00:00 UTC,2025-01-10 16:05:00 UTC,short,302.0
2025-01-10 16:00:00 UTC,2025-01-10 21:55:00 UTC,short,286.0
2025-01-13 16:00:00 UTC,2025-01-13 16:05:00 UTC,long,177.0
2025-01-13 16:00:00 UTC,2025-01-13 21:55:00 UTC,long,426.0
2025-01-14 16:00:00 UTC,2025-01-14 16:10:00 UTC,short,25.0
2025-01-14 16:25:00 UTC,2025-01-14 16:30:00 UTC,short,75.0
2025-01-14 16:00:00 UTC,2025-01-14 21:55:00 UTC,short,-206.0
2025-01-14 16:25:00 UTC,2025-01-14 21:55:00 UTC,short,-206.0
2025-01-15 16:15:00 UTC,2025-01-15 16:20:00 UTC,short,-25.0
2025-01-15 16:30:00 UTC,2025-01-15 16:40:00 UTC,short,35.0
2025-01-15 16:15:00 UTC,2025-01-15 21:55:00 UTC,short,-116.0
2025-01-15 16:30:00 UTC,2025-01-15 21:55:00 UTC,short,-116.0
2025-01-16 16:05:00 UTC,2025-01-16 16:10:00 UTC,long,-25.0
2025-01-16 16:30:00 UTC,2025-01-16 16:35:00 UTC,long,-25.0
2025-01-16 16:05:00 UTC,2025-01-16 21:55:00 UTC,long,-114.0
2025-01-16 16:30:00 UTC,2025-01-16 21:55:00 UTC,long,-114.0
2025-01-17 16:00:00 UTC,2025-01-17 16:05:00 UTC,long,75.0
2025-01-17 16:00:00 UTC,2025-01-17 21:55:00 UTC,long,-18.0
2025-01-20 16:00:00 UTC,2025-01-20 16:05:00 UTC,short,-25.0
2025-01-20 17:20:00 UTC,2025-01-20 17:25:00 UTC,short,-25.0
2025-01-20 16:00:00 UTC,2025-01-20 17:59:00 UTC,short,-41.0
2025-01-20 17:20:00 UTC,2025-01-20 17:59:00 UTC,short,-41.0
2025-01-21 16:00:00 UTC,2025-01-21 16:05:00 UTC,long,132.0
2025-01-21 16:00:00 UTC,2025-01-21 21:55:00 UTC,long,342.0
2025-01-22 16:00:00 UTC,2025-01-22 16:10:00 UTC,short,75.0
2025-01-22 16:30:00 UTC,2025-01-22 16:50:00 UTC,short,5.0
2025-01-22 16:00:00 UTC,2025-01-22 21:55:00 UTC,short,5.0
2025-01-22 16:30:00 UTC,2025-01-22 21:55:00 UTC,short,5.0
2025-01-23 16:00:00 UTC,2025-01-23 16:05:00 UTC,long,130.0
2025-01-23 16:00:00 UTC,2025-01-23 21:55:00 UTC,long,315.0
2025-01-24 16:10:00 UTC,2025-01-24 17:00:00 UTC,long,-25.0
2025-01-24 17:10:00 UTC,2025-01-24 17:25:00 UTC,long,15.0
2025-01-24 16:10:00 UTC,2025-01-24 21:55:00 UTC,long,-103.0
2025-01-24 17:10:00 UTC,2025-01-24 21:55:00 UTC,long,-103.0
2025-01-27 16:00:00 UTC,2025-01-27 16:05:00 UTC,long,248.0
2025-01-27 16:00:00 UTC,2025-01-27 21:55:00 UTC,long,606.0
2025-01-28 16:00:00 UTC,2025-01-28 16:05:00 UTC,long,208.0
2025-01-28 16:25:00 UTC,2025-01-28 16:35:00 UTC,long,15.0
2025-01-28 16:00:00 UTC,2025-01-28 21:55:00 UTC,long,84.0
2025-01-28 16:25:00 UTC,2025-01-28 21:55:00 UTC,long,84.0
2025-01-29 16:00:00 UTC,2025-01-29 16:10:00 UTC,long,25.0
2025-01-29 16:35:00 UTC,2025-01-29 16:40:00 UTC,long,-25.0
2025-01-29 16:00:00 UTC,2025-01-29 21:55:00 UTC,long,-43.0
2025-01-29 16:35:00 UTC,2025-01-29 21:55:00 UTC,long,-43.0
2025-01-30 16:00:00 UTC,2025-01-30 16:05:00 UTC,long,75.0
2025-01-30 16:15:00 UTC,2025-01-30 16:25:00 UTC,long,75.0
2025-01-30 16:00:00 UTC,2025-01-30 21:55:00 UTC,long,180.0
2025-01-30 16:15:00 UTC,2025-01-30 21:55:00 UTC,long,180.0
2025-01-31 16:00:00 UTC,2025-01-31 16:05:00 UTC,short,86.0
2025-01-31 17:30:00 UTC,2025-01-31 17:55:00 UTC,short,75.0
2025-01-31 16:00:00 UTC,2025-01-31 21:55:00 UTC,short,427.0
