entry_ts,exit_ts,direction,pnl_ticks
2025-01-02 17:00:00 UTC,2025-01-02 21:55:00 UTC,long,53.999999999996355
2025-01-03 17:00:00 UTC,2025-01-03 21:55:00 UTC,short,48.00000000000182
2025-01-06 17:00:00 UTC,2025-01-06 21:55:00 UTC,long,37.00000000000273
2025-01-07 17:00:00 UTC,2025-01-07 21:55:00 UTC,short,40.0
2025-01-08 17:00:00 UTC,2025-01-08 17:24:00 UTC,long,-56.99999999999818
2025-01-08 17:00:00 UTC,2025-01-08 21:55:00 UTC,long,-30.99999999999909
2025-01-09 17:00:00 UTC,2025-01-09 21:55:00 UTC,short,-81.99999999999818
2025-01-13 17:00:00 UTC,2025-01-13 21:55:00 UTC,short,1.000000000003638
2025-01-14 17:00:00 UTC,2025-01-14 21:55:00 UTC,long,141.00000000000367
2025-01-16 17:00:00 UTC,2025-01-16 21:55:00 UTC,long,-31.99999999999818
2025-01-17 17:00:00 UTC,2025-01-17 21:55:00 UTC,long,-20.0
2025-01-20 17:00:00 UTC,2025-01-20 19:29:00 UTC,short,0.0
2025-01-21 17:00:00 UTC,2025-01-21 21:55:00 UTC,long,125.99999999999909
2025-01-22 17:00:00 UTC,2025-01-22 21:55:00 UTC,long,-33.000000000001826
2025-01-23 17:00:00 UTC,2025-01-23 21:55:00 UTC,long,66.00000000000365
2025-01-24 17:00:00 UTC,2025-01-24 21:55:00 UTC,short,10.0
2025-01-27 17:00:00 UTC,2025-01-27 21:55:00 UTC,short,28.999999999996362
2025-01-28 17:00:00 UTC,2025-01-28 21:55:00 UTC,long,92.00000000000273
2025-01-29 17:00:00 UTC,2025-01-29 21:55:00 UTC,short,-5.9999999999990905
2025-01-30 17:00:00 UTC,2025-01-30 21:55:00 UTC,long,180.0
2025-01-31 17:08:00 UTC,2025-01-31 21:55:00 UTC,short,113.00000000000182
2025-02-03 17:24:00 UTC,2025-02-03 21:55:00 UTC,long,-102.99999999999727
2025-02-04 17:08:00 UTC,2025-02-04 21:55:00 UTC,long,17.99999999999727
2025-02-05 17:00:00 UTC,2025-02-05 21:55:00 UTC,long,-105.0
2025-02-06 17:00:00 UTC,2025-02-06 21:55:00 UTC,short,-45.0
2025-02-11 17:24:00 UTC,2025-02-11 21:55:00 UTC,long,-45.99999999999909
2025-02-12 17:00:00 UTC,2025-02-12 21:55:00 UTC,long,16.00000000000364
2025-02-13 17:00:00 UTC,2025-02-13 21:55:00 UTC,long,150.9999999999991
2025-02-14 17:00:00 UTC,2025-02-14 21:55:00 UTC,short,367.99999999999727
2025-02-18 17:00:00 UTC,2025-02-18 21:55:00 UTC,long,119.00000000000091
2025-02-19 17:00:00 UTC,2025-02-19 21:55:00 UTC,short,-53.00000000000182
2025-02-20 17:00:00 UTC,2025-02-20 21:55:00 UTC,long,10.0
2025-02-21 17:08:00 UTC,2025-02-21 21:55:00 UTC,long,-23.00000000000182
