period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,5,5,0,0,0,0,5,4,0,4,1,5,1649.0,33284.98570921683,31635.98570921683,1918.4951915837983
6.0,Trader_2,2020-01-03,7,7,0,0,0,0,7,6,0,6,1,8,1831.0,37231.79753578032,35400.79753578032,1933.4133006979969
6.0,Trader_3,2020-01-04,9,8,1,0,0,1,8,8,1,7,0,8,2013.0,42172.78596057029,40159.78596057029,1995.0216572563481
6.0,Trader_4,2020-01-05,7,6,1,1,0,0,6,5,0,5,1,9,1831.0,36106.54305225038,34275.54305225038,1871.957567026236
6.0,Trader_5,2020-01-06,9,9,0,0,0,0,9,8,1,7,1,8,2013.0,39576.356037016274,37563.356037016274,1866.0385512675743
6.0,Trader_6,2020-01-07,6,6,0,0,0,0,6,5,1,4,1,6,1740.0,46293.87741727827,44553.87741727827,2560.567667659671
6.0,Trader_7,2020-01-08,9,8,1,0,0,1,8,8,1,7,0,9,2013.0,35991.32298893156,33978.32298893156,1687.9445101307285
6.0,Trader_8,2020-01-09,5,5,0,0,0,0,5,4,0,4,1,5,1649.0,28324.804438672607,26675.804438672607,1617.695842248187
6.0,Trader_9,2020-01-10,9,9,0,0,0,0,9,8,2,6,1,6,2013.0,49558.39754934993,47545.39754934993,2361.9174142747106
6.0,Trader_10,2020-01-11,7,7,0,0,0,0,7,6,1,5,1,10,1831.0,43783.04678734536,41952.04678734536,2291.209546004662
