period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,5,5,0,0,0,0,5,4,0,4,1,5,1649.0,18207.88092000174,16558.88092000174,1004.1771328078677
6.0,Trader_2,2020-01-03,6,5,1,0,0,1,5,5,0,5,0,6,1740.0,30560.650247052403,28820.650247052403,1656.359209600713
6.0,Trader_3,2020-01-04,6,6,0,0,0,0,6,6,0,6,0,8,1740.0,39312.895338917966,37572.895338917966,2159.361801087239
6.0,Trader_4,2020-01-05,5,5,0,0,0,0,5,4,0,4,1,5,1649.0,20110.39494323137,18461.39494323137,1119.550936521005
6.0,Trader_5,2020-01-06,7,6,1,0,0,1,6,6,0,6,0,8,1831.0,42295.36250393675,40464.36250393675,2209.9597216786865
6.0,Trader_6,2020-01-07,4,4,0,0,0,0,4,3,0,3,1,7,1558.0,44438.81631603369,42880.81631603369,2752.2988649572335
6.0,Trader_7,2020-01-08,7,6,1,0,0,1,6,6,0,6,0,7,1831.0,31401.18831424074,29570.18831424074,1614.9747850486476
6.0,Trader_8,2020-01-09,5,5,0,0,0,0,5,4,1,3,1,5,1649.0,16028.270728596319,14379.270728596319,871.9994377559926
6.0,Trader_9,2020-01-10,6,6,0,0,0,0,6,5,0,5,1,6,1740.0,36349.89687840265,34609.89687840265,1989.0745332415318
6.0,Trader_10,2020-01-11,7,7,0,0,0,0,7,6,0,6,1,7,1831.0,27340.271059856386,25509.271059856386,1393.1879333619
