,0
mc_eval_expire_pct,0.0
mc_eval_fail_pct,0.5171299288946348
mc_eval_mean_days_to_fail,4.5
mc_eval_mean_days_to_pass,6.162443144899285
mc_eval_mean_max_dd_during_window_usd,849.184358169175
mc_eval_median_days_to_fail,4.5
mc_eval_median_days_to_pass,5.0
mc_eval_p10_days_to_fail,1.7000000000000002
mc_eval_p10_days_to_pass,3.0
mc_eval_p10_max_dd_during_window_usd,340.0
mc_eval_p25_days_to_fail,2.75
mc_eval_p25_days_to_pass,4.0
mc_eval_p25_max_dd_during_window_usd,426.6171554631228
mc_eval_p50_days_to_fail,4.5
mc_eval_p50_days_to_pass,5.0
mc_eval_p50_max_dd_during_window_usd,652.0000000000027
mc_eval_p75_days_to_fail,6.25
mc_eval_p75_days_to_pass,7.0
mc_eval_p75_max_dd_during_window_usd,1130.0
mc_eval_p90_days_to_fail,7.3
mc_eval_p90_days_to_pass,10.0
mc_eval_p90_max_dd_during_window_usd,1806.999999999996
mc_eval_pass_pct,99.48287007110537
mc_eval_pct_runs_dd_within_85pct_of_trail,10.536522301228183
mc_eval_prob_pass_given_pass_or_bust_pct,99.48287007110537
obs_best_day_usd,11172.0
obs_observed_max_best_day_to_equity_ratio,0.009977735211680796
obs_worst_day_usd,-3074.0
roll_rolling_bust_pct,0.5171299288946348
roll_rolling_expire_pct,0.0
roll_rolling_fail_pct,0.5171299288946348
roll_rolling_mean_days_to_fail,4.5
roll_rolling_mean_days_to_pass,6.162443144899285
roll_rolling_mean_max_dd_during_window_usd,849.184358169175
roll_rolling_median_days_to_fail,4.5
roll_rolling_median_days_to_pass,5.0
roll_rolling_p10_days_to_fail,1.7000000000000002
roll_rolling_p10_days_to_pass,3.0
roll_rolling_p10_max_dd_during_window_usd,340.0
roll_rolling_p25_days_to_fail,2.75
roll_rolling_p25_days_to_pass,4.0
roll_rolling_p25_max_dd_during_window_usd,426.6171554631228
roll_rolling_p50_days_to_fail,4.5
roll_rolling_p50_days_to_pass,5.0
roll_rolling_p50_max_dd_during_window_usd,652.0000000000027
roll_rolling_p75_days_to_fail,6.25
roll_rolling_p75_days_to_pass,7.0
roll_rolling_p75_max_dd_during_window_usd,1130.0
roll_rolling_p90_days_to_fail,7.3
roll_rolling_p90_days_to_pass,10.0
roll_rolling_p90_max_dd_during_window_usd,1806.999999999996
roll_rolling_pass_pct,99.48287007110537
roll_rolling_pct_windows_dd_within_85pct_of_trail,10.536522301228183
roll_rolling_windows,1547.0
