period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,10,8,2,2,0,0,8,7,1,6,1,7,2684.0,136811.25000000023,134127.25000000023,4997.2894932936
6.0,Trader_2,2020-01-03,11,7,4,3,0,1,7,7,2,5,0,6,2833.0,112655.87500000016,109822.87500000016,3876.557536180733
6.0,Trader_3,2020-01-04,11,8,3,3,0,0,8,7,2,5,1,7,2833.0,152303.2499999999,149470.2499999999,5276.041298976347
6.0,Trader_4,2020-01-05,9,8,1,1,0,0,8,7,2,5,1,8,2535.0,125743.87499999988,123208.87499999988,4860.31065088757
6.0,Trader_5,2020-01-06,11,9,2,2,0,0,9,8,3,5,0,7,2833.0,152303.2499999999,149470.2499999999,5276.041298976347
6.0,Trader_6,2020-01-07,10,8,2,2,0,0,8,7,3,4,1,7,2684.0,152303.2499999999,149619.2499999999,5574.4877049180295
6.0,Trader_7,2020-01-08,11,8,3,3,0,0,8,7,2,5,1,7,2833.0,152303.2499999999,149470.2499999999,5276.041298976347
6.0,Trader_8,2020-01-09,10,7,3,2,0,1,7,7,1,6,0,7,2684.0,136811.25000000023,134127.25000000023,4997.2894932936
6.0,Trader_9,2020-01-10,11,9,2,2,0,0,9,8,4,4,1,5,2833.0,117260.75000000001,114427.75000000001,4039.1016590187087
6.0,Trader_10,2020-01-11,10,8,2,2,0,0,8,7,2,5,1,8,2684.0,155436.99999999988,152752.99999999988,5691.244411326375
