,0
mc_eval_expire_pct,0.0
mc_eval_fail_pct,7.5376884422110555
mc_eval_mean_days_to_fail,2.533333333333333
mc_eval_mean_days_to_pass,3.7989130434782608
mc_eval_mean_max_dd_during_window_usd,5305.766331658289
mc_eval_median_days_to_fail,2.0
mc_eval_median_days_to_pass,3.0
mc_eval_p10_days_to_fail,1.0
mc_eval_p10_days_to_pass,2.0
mc_eval_p10_max_dd_during_window_usd,2681.499999999971
mc_eval_p25_days_to_fail,1.5
mc_eval_p25_days_to_pass,2.0
mc_eval_p25_max_dd_during_window_usd,4160.999999999985
mc_eval_p50_days_to_fail,2.0
mc_eval_p50_days_to_pass,3.0
mc_eval_p50_max_dd_during_window_usd,4541.000000000001
mc_eval_p75_days_to_fail,3.0
mc_eval_p75_days_to_pass,5.0
mc_eval_p75_max_dd_during_window_usd,7684.999999999985
mc_eval_p90_days_to_fail,4.6
mc_eval_p90_days_to_pass,6.0
mc_eval_p90_max_dd_during_window_usd,8312.49999999997
mc_eval_pass_pct,92.46231155778895
mc_eval_pct_runs_dd_within_85pct_of_trail,88.94472361809045
mc_eval_prob_pass_given_pass_or_bust_pct,92.46231155778895
obs_best_day_usd,32109.999999999993
obs_observed_max_best_day_to_equity_ratio,0.037843118998989955
obs_worst_day_usd,-8312.499999999982
roll_rolling_bust_pct,7.5376884422110555
roll_rolling_expire_pct,0.0
roll_rolling_fail_pct,7.5376884422110555
roll_rolling_mean_days_to_fail,2.533333333333333
roll_rolling_mean_days_to_pass,3.7989130434782608
roll_rolling_mean_max_dd_during_window_usd,5305.766331658289
roll_rolling_median_days_to_fail,2.0
roll_rolling_median_days_to_pass,3.0
roll_rolling_p10_days_to_fail,1.0
roll_rolling_p10_days_to_pass,2.0
roll_rolling_p10_max_dd_during_window_usd,2681.499999999971
roll_rolling_p25_days_to_fail,1.5
roll_rolling_p25_days_to_pass,2.0
roll_rolling_p25_max_dd_during_window_usd,4160.999999999985
roll_rolling_p50_days_to_fail,2.0
roll_rolling_p50_days_to_pass,3.0
roll_rolling_p50_max_dd_during_window_usd,4541.000000000001
roll_rolling_p75_days_to_fail,3.0
roll_rolling_p75_days_to_pass,5.0
roll_rolling_p75_max_dd_during_window_usd,7684.999999999985
roll_rolling_p90_days_to_fail,4.6
roll_rolling_p90_days_to_pass,6.0
roll_rolling_p90_max_dd_during_window_usd,8312.49999999997
roll_rolling_pass_pct,92.46231155778895
roll_rolling_pct_windows_dd_within_85pct_of_trail,88.94472361809045
roll_rolling_windows,199.0
